month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202111,texas,tx,349900,-0.0003,0.1342,48300,-0.0614,-0.2288,46,0.045454545,-0.155963303,28756,-0.0697,0.0206,3352,0.2813,-0.074,12584,-0.1987,-0.2078,51896,0.0096,-0.0296,168.5078125,0.0036,0.1578,2059.5,-0.006,-0.0365,501930.8412,0.0032,0.0798,100196,-0.0259,-0.137,1.074451346,0.0756,0.2206,0
202111,montana,mt,549000,0.0358,0.3727,2304,-0.156,-0.2192,78,0.21875,-0.087719298,704,-0.3529,-0.0486,20,-0.375,-0.5455,352,-0.2479,-0.0222,2790,-0.0906,-0.104,261.3481714,-0.0042,0.3387,2140,0.0056,-0.0231,1057251.998,0.0569,0.2449,5094,-0.1214,-0.1601,1.2109375,0.0871,0.1557,1
202111,utah,ut,588542.5,0.0236,0.1064,4476,-0.1569,-0.0345,37.5,0.171875,-0.25,3396,-0.1891,0.2922,316,0.3167,0.1618,1440,-0.2225,0.4938,9282,-0.0004,-0.0101,244.0214876,0.0124,0.1801,2513.5,0.0284,-0.0073,1118959.303,0.0437,0.0582,13758,-0.0573,-0.0182,2.073726542,0.3246,0.0511,0
202111,delaware,de,396950,0.0049,0.1345,1608,-0.092,-0.2141,52,0.04,-0.22962963,1024,-0.1579,0.1228,132,0.2692,-0.4407,348,-0.2564,-0.0225,2991,-0.0532,-0.0743,191.6691231,0.018,0.1553,2005,-0.02,-0.0135,489701.5517,0.0037,0.0321,4599,-0.0671,-0.1285,1.860074627,0.0763,0.2809,0
202111,nevada,nv,459495,0.0211,0.3128,6921,-0.0719,-0.2536,35.5,0.075757576,-0.183908046,3904,-0.1579,0.0586,272,-0.0286,-0.2609,1756,-0.2004,-0.167,1784,-0.0262,-0.0935,242.4092588,0.0104,0.2668,1925,0.0047,0.0425,758670.9997,-0.0027,0.2274,8705,-0.0629,-0.2256,0.257766219,0.0121,0.0455,1
202111,georgia,ga,367500,0.0095,0.114,27607,-0.0534,-0.2306,42,0.024390244,-0.16,18204,-0.1115,0.0584,1436,0.108,-0.3601,6852,-0.051,-0.192,36594,-0.0117,-0.0173,166.7854247,0.0057,0.1573,2139,-0.0014,-0.0506,511086.6028,0.008,0.082,64201,-0.0301,-0.122,1.325533379,0.0559,0.2876,0
202111,district of columbia,dc,591500,-0.014,-0.014,2040,-0.0642,0.0575,44,0.333333333,0.060240964,916,-0.2184,0.0044,12,-0.4,-0.25,568,-0.2366,0.1736,1213,0.0271,0.0412,554.4865067,-0.0089,-0.0552,1113,-0.0062,0.0296,897893.7396,-0.0082,-0.0284,3253,-0.0321,0.0514,0.594607843,0.0529,-0.0093,0
202111,washington,wa,567000,-0.0139,0.0916,7149,-0.1816,-0.1957,40.5,0.157142857,-0.10989011,5972,-0.2863,0.0499,668,-0.201,0.8352,2060,-0.3233,-0.0721,13538,-0.0859,-0.1571,294.3827672,-0.006,0.0608,1952,-0.0036,0.0503,781833.0414,0.0033,0.033,20687,-0.1214,-0.1709,1.893691425,0.1981,0.0867,0
202111,michigan,mi,229900,-0.0421,-0.0417,16919,-0.0895,-0.1358,45.5,0.083333333,-0.133333333,9612,-0.1801,0.0728,304,-0.038,-0.2165,5036,-0.2011,0.0431,12194,-0.0978,-0.0609,148.4960937,-0.018,0.0529,1552,-0.0233,-0.0679,352115.8799,-0.0214,-0.0222,29113,-0.093,-0.1059,0.720728175,-0.0066,0.0574,0
202111,kansas,ks,211000,-0.0181,0.0369,3972,-0.0907,-0.2266,51.5,0.119565217,-0.088495575,2008,-0.2107,-0.0939,120,-0.2683,0.0714,1060,-0.1921,-0.1821,5709,-0.0407,0.0504,113.5628142,-0.0044,0.1187,1833,-0.0219,-0.0775,305151.9716,-0.0107,-0.008,9681,-0.0618,-0.0842,1.437311178,0.0749,0.3791,0
202111,alaska,ak,342450,0.0075,0.1436,1246,-0.1966,-0.3082,68.5,0.223214286,-0.13836478,344,-0.4228,-0.2522,20,-0.2857,0,280,-0.4262,-0.1954,94,-0.1754,-0.2419,197.2243565,0.0007,0.112,1759,0.0179,0.0408,423943.7528,0.0269,0.1194,1340,-0.1952,-0.3039,0.075441413,0.0019,0.0066,0
202111,new york,ny,639444,0.0657,0.0675,49960,-0.0234,-0.1651,63.5,0.076271186,-0.118055556,14608,-0.2007,-0.0005,900,0.148,0.2931,8164,-0.2037,-0.212,32939,0.0223,-0.2082,400.4375,0.0812,0.1842,1535,-0.0129,-0.0904,1596873.774,0.0734,0.23,82899,-0.0057,-0.1828,0.659307446,0.0294,-0.0359,0
202111,wyoming,wy,316500,-0.0262,0.1834,1454,-0.0997,-0.3063,61,0.12962963,-0.164383562,504,-0.2125,-0.0803,12,-0.25,0.5,212,-0.3375,-0.2319,826,-0.109,-0.144,149.3990385,-0.0347,0.1868,2099,0.0005,-0.0347,804394.5371,-0.0162,0.33,2280,-0.1031,-0.2551,0.568088033,-0.0059,0.1077,0
202111,california,ca,697000,-0.0029,-0.0346,35115,-0.1368,-0.2656,39,0.114285714,-0.060240964,27136,-0.2218,-0.0866,1336,-0.1587,-0.107,8296,-0.251,-0.2069,44955,-0.0534,-0.1735,408.6015625,-0.0114,-0.0202,1757.5,0.0009,-0.0459,1438602.918,0.0181,-0.0375,80070,-0.0919,-0.2166,1.280222127,0.1127,0.1428,0
202111,arizona,az,452500,0.0056,0.1387,10358,-0.0291,-0.0771,36,0.028571429,-0.1,8212,-0.112,0.028,608,0.078,-0.2727,3848,-0.001,-0.0164,16246,0.0146,-0.0904,244.2201496,0.0035,0.1807,1950.5,-0.0013,-0.025,695943.1241,0.0074,0.0153,26604,-0.0029,-0.0852,1.568449508,0.0674,-0.0229,0
202111,louisiana,la,274950,0.0035,0.0998,7106,-0.0397,-0.3366,65,-0.044117647,-0.182389937,2980,-0.057,-0.0892,140,-0.186,-0.186,1816,-0.034,-0.2395,8094,-0.0199,0.1045,138.9739879,0.0001,0.1012,1916,0.0031,-0.0299,384160.8587,-0.0028,0.0976,15200,-0.0293,-0.1574,1.139037433,0.0231,0.4549,0
202111,south carolina,sc,325000,-0.0028,0.1404,10078,-0.043,-0.3829,44.5,0.011363636,-0.293650794,6052,-0.1005,0.002,1280,0.2121,0.0526,2308,-0.1515,-0.3645,15108,0.0013,0.0654,164.9823252,0.0072,0.0944,1983.5,-0.0043,0.0328,517309.9466,0.0026,0.1359,25186,-0.0169,-0.1745,1.499106966,0.0664,0.6308,0
202111,colorado,co,563950,-0.0192,0.0883,9667,-0.1653,-0.2632,47.5,0.158536585,-0.208333333,6388,-0.221,0.0431,480,0.2,-0.2308,2576,-0.306,-0.119,12271,-0.0762,-0.121,259.7376273,-0.0137,0.058,2133.5,-0.0123,0.0049,1164152.643,0.0026,0.0518,21938,-0.1177,-0.1899,1.269370022,0.1225,0.2053,0
